,Metabolite,Mass,Metabolite id,Charge,Phosphate,Intracellular concentration [M],Compound class,Ref,Comment,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area,Charge (pubchem),xlogP,pubchem id
17,Formate,45.017,for,-1,0,0.000184,Carboxylic acid,https://ecmdb.ca/compounds/M2MDB000053,"LB, stationary phase overnight",0,2,0,40.1,-1,0.5,283
18,"Fructose-1,6-bisphosphate",336.083922,fdp,-4,2,0.0152,Phosphorylated sugar,"Bennet et al, glucose",,7,12,6,203,0,-5.6,10267
19,Fructose-6-phosphate,258.119901,f6p,-2,1,0.002916667,Phosphorylated sugar,"Bennet et al, glucose",,6,9,7,165,0,-4.3,69507
20,Fumarate,114.05628,fum,-2,0,0.000115,Carboxylic acid,"Bennet et al, glucose",,0,4,0,80.3,-2,1,5460307
21,Gamma-aminobutyrate,103.11976,,0,0,4.40E-05,Other,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000561,2,3,3,63.3,0,-3.2,119
22,Glucose-6-phosphate,258.119901,g6p,-2,1,0.002916667,Phosphorylated sugar,"Bennet et al, glucose",,6,9,3,157,0,-4.2,5958
23,Glutamate,146.12132,glu__L,-1,0,0.096,Amino acid,"Bennet et al, glucose",,3,5,4,101,0,-3.7,33032
24,Glutamine,146.1445,gln__L,0,0,0.00381,Amino acid,"Bennet et al, glucose",,3,4,4,106,0,-3.1,5961
25,Glutarate,132.12,glutar,-2,0,,Carboxylic acid,,"Charge from ECMDB, not in iML1515",2,4,4,74.6,0,-0.3,743
26,Glyceraldehyde-3-phosphate,168.041961,g3p,-2,1,0.000289,Phosphorylated sugar,Park et al,,3,6,4,104,0,-2.7,439168
27,Glycine,75.0666,gly,0,0,0.000318,Amino acid,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000046,2,3,1,63.3,0,-3.2,750
28,Hexoses,180.15588,,,,,Other,,,5,6,5,118,0,-2.9,24749
29,Histidine,155.15456,his__L,0,0,6.76E-05,Amino acid,"Bennet et al, glucose",,3,4,3,92,0,-3.2,6274
30,Homoserine,119.11916,hom__L,0,0,1.60E-05,Amino acid,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000449,3,4,3,83.6,0,-4.4,779
31,Isocitrate,189.0997,icit,-3,0,4.29E-05,Carboxylic acid,Park et al,,4,7,5,132,0,-1.8,1198
32,Isoleucine,131.17292,ile__L,0,0,0.000152,Amino acid,"Bennet et al, glucose",,2,3,3,63.3,0,-1.7,6306
33,Lactate,89.07,lac__L,-1,0,,Carboxylic acid,,,1,3,0,60.4,-1,0.2,91435
34,Leucine,131.17292,leu__L,0,0,0.000152,Amino acid,"Bennet et al, glucose",,2,3,3,63.3,0,-1.5,6106
35,Lysine,147.1955,lys__L,1,0,0.000405,Amino acid,"Bennet et al, glucose",,3,4,5,89.3,0,-3,5962
36,Malate,132.07156,mal__L,-2,0,0.00168,Carboxylic acid,"Bennet et al, glucose",,3,5,3,94.8,0,-1.3,525
37,Methionine,149.21134,met__L,0,0,0.000145,Amino acid,"Bennet et al, glucose",,2,4,4,88.6,0,-1.9,6137
38,NAD,663.43,nad,-1,2,0.00255,Nucleosides and nucleotides,"Bennet et al, glucose",,7,18,11,321,0,-6,5892
39,Orotate,155.08832,orot,-1,0,,Other,,,2,4,0,98.3,-1,-0.8,1492348
40,Oxaloacetate,130.05568,oaa,0,0,8.55E-07,Carboxylic acid,Park et al,,2,5,3,91.7,0,-0.6,970
41,Phenylalanine,165.18914,phe__L,0,0,1.82E-05,Amino acid,"Bennet et al, glucose",,2,3,3,63.3,0,-1.5,6140
42,Phosphoenolpyruvate,165.018141,pep,-3,1,0.000184,Other,"Bennet et al, glucose",,3,6,3,104,0,-1.1,1005
43,Pipecolic acid,129.15704,,0,0,6.00E-06,Other,Ishii et al.,https://ecmdb.ca/compounds/M2MDB001780,2,3,1,49.3,0,-2.3,849
44,Propionate,73.07,ppa,-1,0,,Carboxylic acid,,,0,2,0,40.1,-1,0.9,104745
45,Proline,115.13046,pro__L,0,0,0.000385,Amino acid,"Bennet et al, glucose",,2,3,1,49.3,0,-2.5,145742
46,Pyruvate,87.05412,pyr,-1,0,0.0009,Carboxylic acid,https://ecmdb.ca/e_coli_stats,,0,3,0,57.2,-1,-0.6,107735
47,Ribose-5-phosphate,228.093921,r5p,-2,1,0.00045,Phosphorylated sugar,"Bennet et al, glucose",,5,8,6,145,0,-3.4,77982
48,Ribulose-5-phosphate,228.093921,ru5p__D,-2,1,0.0009,Phosphorylated sugar,"Bennet et al, glucose",,5,8,6,145,0,-3.7,439184
49,Sedoheptulose 7-phosphate,288.145881,s7p,-2,1,0.000924,Phosphorylated sugar,Park et al,,7,10,8,185,0,-5,165007
50,Serine,105.09258,ser__L,0,0,6.80E-05,Amino acid,"Bennet et al, glucose",,3,4,2,83.6,0,-3.1,5951
51,Shikimate,173.14336,skm,-1,0,1.41E-05,Other,"Bennet et al, glucose",,4,5,1,98,0,-1.7,8742
52,Succinate,116.07216,succ,-2,0,0.000569,Carboxylic acid,"Bennet et al, glucose",,0,4,1,80.3,-2,0.7,160419
53,Threonine,119.11916,thr__L,0,0,0.000179,Amino acid,"Bennet et al, glucose",,3,4,2,83.6,0,-2.9,6288
54,Trans-aconitate,171.08442,acon_T,-3,0,9.60E-05,Carboxylic acid,"Bennet et al., glycerol",,3,6,4,112,0,-1,444212
55,Tryptophan,204.22518,trp__L,0,0,1.21E-05,Amino acid,"Bennet et al, glucose",,3,3,3,79.1,0,-1.1,6305
56,Tyrosine,181.18854,tyr__L,0,0,2.89E-05,Amino acid,"Bennet et al, glucose",,3,4,3,83.6,0,-2.3,6057
57,Uracil,112.08676,ura,0,0,0.001013,Pyrimidine,https://ecmdb.ca/compounds/M2MDB000126,"LB, stationary phase overnight",2,2,0,58.2,0,-1.1,1174
58,Valine,117.14634,val__L,0,0,0.00402,Amino acid,"Bennet et al, glucose",,2,3,2,63.3,0,-2.3,6287
59,Xylulose-5-phosphate,228.093921,xu5p__D,-2,1,0.0009,Phosphorylated sugar,"Bennet et al, glucose",,5,8,6,145,0,-3.7,439190
60,Deoxycarnitine,145.2,,0,0,,Other,,,0,2,3,40.1,0,0.8,725
61,Glutarylcarnitine,275.3,,0,0,,Other,,,1,6,9,104,0,0.2,71317118
62,Sebacoyl-l-carnitine,345.4,,0,0,,Other,,,1,6,14,104,0,2.7,71464537
